X,sin
-8.0,-0.9893582491333062
-7.9,-0.9989413428612807
-7.800000000000001,-0.9985433457670907
-7.700000000000001,-0.9881682191318648
-7.600000000000001,-0.9679196663303387
-7.500000000000002,-0.9379999747302672
-7.400000000000002,-0.8987080951403552
-7.3000000000000025,-0.8504366204300807
-7.200000000000003,-0.7936678637974368
-7.100000000000003,-0.7289690428195694
-7.0000000000000036,-0.6569865993598404
-6.900000000000004,-0.5784397645110849
-6.800000000000004,-0.49411335115618277
-6.700000000000005,-0.4048499206182536
-6.600000000000005,-0.3115413634248535
-6.500000000000005,-0.21511998808490454
-6.400000000000006,-0.11654920485048803
-6.300000000000006,-0.01681390048435625
-6.200000000000006,0.08308940282295828
-6.100000000000007,0.18216250427144873
-6.000000000000007,0.27941549816666683
-5.9000000000000075,0.37387666434007016
-5.800000000000008,0.46460217942213394
-5.700000000000008,0.55068554266397
-5.6000000000000085,0.631266638250295
-5.500000000000009,0.7055403272672538
-5.400000000000009,0.7727644939128845
-5.30000000000001,0.8322674420956677
-5.20000000000001,0.8834546552688823
-5.10000000000001,0.9258146809069845
-5.000000000000011,0.9589242705885478
-4.900000000000011,0.9824526018294555
-4.800000000000011,0.9961645821227819
-4.700000000000012,0.999923258309666
-4.600000000000012,0.9936910054997153
-4.500000000000012,0.9775301220949396
-4.400000000000013,0.9516020839184725
-4.300000000000013,0.9161659585113614
-4.2000000000000135,0.8715758178624018
-4.100000000000014,0.8182771094521198
-4.000000000000014,0.7568024918601297
-3.900000000000014,0.6877661520482363
-3.800000000000014,0.6118578766109346
-3.700000000000014,0.5298361129087559
-3.600000000000014,0.4425203899723475
-3.5000000000000138,0.35078322994514133
-3.4000000000000137,0.2555411064318267
-3.3000000000000136,0.1577457025512385
-3.2000000000000135,0.05837415913634767
-3.1000000000000134,-0.04158067984794079
-3.0000000000000133,-0.14112001741323005
-2.9000000000000132,-0.23924933413242036
-2.800000000000013,-0.3349881526843216
-2.700000000000013,-0.42737982095222465
-2.600000000000013,-0.5155013405644603
-2.500000000000013,-0.5984721280337801
-2.400000000000013,-0.6754631725113135
-2.3000000000000127,-0.7457052082717243
-2.2000000000000126,-0.8084964019830524
-2.1000000000000125,-0.8632094179092812
-2.0000000000000124,-0.9092974515196686
-1.9000000000000123,-0.9463000991442005
-1.8000000000000123,-0.9738476359765809
-1.7000000000000122,-0.9916648126183465
-1.600000000000012,-0.9995736039149266
-1.500000000000012,-0.9974949869361681
-1.400000000000012,-0.9854497173602751
-1.3000000000000118,-0.9635581805922122
-1.2000000000000117,-0.9320390842607419
-1.1000000000000116,-0.8912073595102191
-1.0000000000000115,-0.8414709846480743
-0.9000000000000116,-0.7833269174484447
-0.8000000000000116,-0.7173560930426889
-0.7000000000000116,-0.6442176877315098
-0.6000000000000116,-0.5646424734857239
-0.5000000000000117,-0.4794255386164261
-0.4000000000000117,-0.3894183415873123
-0.3000000000000117,-0.29552020660715406
-0.2000000000000117,-0.19866933079366225
-0.10000000000001169,-0.09983341664683702
-1.1685097334179773E-14,-1.1685097334179773E-14
0.09999999999998832,0.09983341664681378
0.19999999999998833,0.19866933079363935
0.29999999999998833,0.29552020660713174
0.39999999999998836,0.3894183415872909
0.49999999999998834,0.4794255386164057
0.5999999999999883,0.5646424734857047
0.6999999999999883,0.6442176877314919
0.7999999999999883,0.7173560930426726
0.8999999999999883,0.7833269174484302
0.9999999999999882,0.8414709846480617
